Name,Официальное название,Планируемая дата выхода,Статус производства,Страна,Студия-производитель,Тематика,Тип,Целевая аудитория
Прыгуны,Hoppers,06/03/2026,В разработке,США,"
Pixar Animation Studios (%D0%A1%D1%82%D1%83%D0%B4%D0%B8%D0%B8/%D0%9A%D0%BE%D0%BB%D0%BB%D0%B5%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BA%D0%BB%D1%8E%D1%87%D0%B5%D0%B2%D1%8B%D1%85%20%D0%BF%D0%BE%D0%B4%D1%80%D0%B0%D0%B7%D0%B4%D0%B5%D0%BB%D0%B5%D0%BD%D0%B8%D0%B9/Pixar%20Animation%20Studios%2029bc10ae8c758092a229ef696d94f940.md)","Дружба, Комедия, Приключения, Природа",Анимационный фильм,Семейная аудитория
История игрушек 5,Toy Story 5,19/07/2026,В разработке,"США, Япония","
Pixar Animation Studios (%D0%A1%D1%82%D1%83%D0%B4%D0%B8%D0%B8/%D0%9A%D0%BE%D0%BB%D0%BB%D0%B5%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BA%D0%BB%D1%8E%D1%87%D0%B5%D0%B2%D1%8B%D1%85%20%D0%BF%D0%BE%D0%B4%D1%80%D0%B0%D0%B7%D0%B4%D0%B5%D0%BB%D0%B5%D0%BD%D0%B8%D0%B9/Pixar%20Animation%20Studios%2029bc10ae8c758092a229ef696d94f940.md)","Дружба, Комедия, Приключения, Технологии",Анимационный фильм,Семейная аудитория
Суперсемейка 3,The Incredibles 3,17/07/2028,В разработке,США,"
Pixar Animation Studios (%D0%A1%D1%82%D1%83%D0%B4%D0%B8%D0%B8/%D0%9A%D0%BE%D0%BB%D0%BB%D0%B5%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BA%D0%BB%D1%8E%D1%87%D0%B5%D0%B2%D1%8B%D1%85%20%D0%BF%D0%BE%D0%B4%D1%80%D0%B0%D0%B7%D0%B4%D0%B5%D0%BB%D0%B5%D0%BD%D0%B8%D0%B9/Pixar%20Animation%20Studios%2029bc10ae8c758092a229ef696d94f940.md)","Приключения, Семья, Супергерои, Фэнтези",Анимационный фильм,Семейная аудитория
Зверополис 2,Zootopia 2,26/11/2026,В производстве,США,"
Walt Disney Animation Studios (%D0%A1%D1%82%D1%83%D0%B4%D0%B8%D0%B8/%D0%9A%D0%BE%D0%BB%D0%BB%D0%B5%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BA%D0%BB%D1%8E%D1%87%D0%B5%D0%B2%D1%8B%D1%85%20%D0%BF%D0%BE%D0%B4%D1%80%D0%B0%D0%B7%D0%B4%D0%B5%D0%BB%D0%B5%D0%BD%D0%B8%D0%B9/Walt%20Disney%20Animation%20Studios%2029bc10ae8c7580b5a450d06a1ac56453.md)","Детектив, Дружба, Комедия, Приключения",Анимационный фильм,Семейная аудитория
Холодное сердце 3,Frozen III,24/11/2027,В производстве,США,"
Walt Disney Animation Studios (%D0%A1%D1%82%D1%83%D0%B4%D0%B8%D0%B8/%D0%9A%D0%BE%D0%BB%D0%BB%D0%B5%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BA%D0%BB%D1%8E%D1%87%D0%B5%D0%B2%D1%8B%D1%85%20%D0%BF%D0%BE%D0%B4%D1%80%D0%B0%D0%B7%D0%B4%D0%B5%D0%BB%D0%B5%D0%BD%D0%B8%D0%B9/Walt%20Disney%20Animation%20Studios%2029bc10ae8c7580b5a450d06a1ac56453.md)","Драма, Магия, Приключения, Фэнтези",Анимационный фильм,Семейная аудитория
Проклятые,Hexed,25/11/2028,В разработке,США,"
Walt Disney Animation Studios (%D0%A1%D1%82%D1%83%D0%B4%D0%B8%D0%B8/%D0%9A%D0%BE%D0%BB%D0%BB%D0%B5%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BA%D0%BB%D1%8E%D1%87%D0%B5%D0%B2%D1%8B%D1%85%20%D0%BF%D0%BE%D0%B4%D1%80%D0%B0%D0%B7%D0%B4%D0%B5%D0%BB%D0%B5%D0%BD%D0%B8%D0%B9/Walt%20Disney%20Animation%20Studios%2029bc10ae8c7580b5a450d06a1ac56453.md)","Магия, Приключения, Семья, Фэнтези",Анимационный фильм,Семейная аудитория
Моана,Moana,10/07/2026,В производстве,США,"
Walt Disney Pictures (%D0%A1%D1%82%D1%83%D0%B4%D0%B8%D0%B8/%D0%9A%D0%BE%D0%BB%D0%BB%D0%B5%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BA%D0%BB%D1%8E%D1%87%D0%B5%D0%B2%D1%8B%D1%85%20%D0%BF%D0%BE%D0%B4%D1%80%D0%B0%D0%B7%D0%B4%D0%B5%D0%BB%D0%B5%D0%BD%D0%B8%D0%B9/Walt%20Disney%20Pictures%2029bc10ae8c75805b8092e1738bf08839.md)","Океан, Приключения, Семья, Фэнтези",Игровой фильм,Семейная аудитория
Геркулес,Hercules,03/06/2027,В разработке,США,"
Walt Disney Pictures (%D0%A1%D1%82%D1%83%D0%B4%D0%B8%D0%B8/%D0%9A%D0%BE%D0%BB%D0%BB%D0%B5%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BA%D0%BB%D1%8E%D1%87%D0%B5%D0%B2%D1%8B%D1%85%20%D0%BF%D0%BE%D0%B4%D1%80%D0%B0%D0%B7%D0%B4%D0%B5%D0%BB%D0%B5%D0%BD%D0%B8%D0%B9/Walt%20Disney%20Pictures%2029bc10ae8c75805b8092e1738bf08839.md)","Мифология, Мюзикл, Приключения, Фэнтези",Игровой фильм,Семейная аудитория
Круэлла 2,Cruella 2,17/12/2027,В разработке,США,"
Walt Disney Pictures (%D0%A1%D1%82%D1%83%D0%B4%D0%B8%D0%B8/%D0%9A%D0%BE%D0%BB%D0%BB%D0%B5%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BA%D0%BB%D1%8E%D1%87%D0%B5%D0%B2%D1%8B%D1%85%20%D0%BF%D0%BE%D0%B4%D1%80%D0%B0%D0%B7%D0%B4%D0%B5%D0%BB%D0%B5%D0%BD%D0%B8%D0%B9/Walt%20Disney%20Pictures%2029bc10ae8c75805b8092e1738bf08839.md)","Драма, Комедия, Криминал, Мода",Игровой фильм,Подростковая аудитория (13+)
Человек-паук: Совершенно новый день,Spider-Man: A Brand New Day,31/07/2026,Завершен,США,"
Marvel Studios (%D0%A1%D1%82%D1%83%D0%B4%D0%B8%D0%B8/%D0%9A%D0%BE%D0%BB%D0%BB%D0%B5%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BA%D0%BB%D1%8E%D1%87%D0%B5%D0%B2%D1%8B%D1%85%20%D0%BF%D0%BE%D0%B4%D1%80%D0%B0%D0%B7%D0%B4%D0%B5%D0%BB%D0%B5%D0%BD%D0%B8%D0%B9/Marvel%20Studios%2029bc10ae8c75804888d6eaf962f76d6c.md)","Приключения, Супергерои, Экшн",Игровой фильм,Подростковая аудитория (13+)
Мстители: Судный день,Avengers: Doomsday,18/12/2026,В разработке,США,"
Marvel Studios (%D0%A1%D1%82%D1%83%D0%B4%D0%B8%D0%B8/%D0%9A%D0%BE%D0%BB%D0%BB%D0%B5%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BA%D0%BB%D1%8E%D1%87%D0%B5%D0%B2%D1%8B%D1%85%20%D0%BF%D0%BE%D0%B4%D1%80%D0%B0%D0%B7%D0%B4%D0%B5%D0%BB%D0%B5%D0%BD%D0%B8%D0%B9/Marvel%20Studios%2029bc10ae8c75804888d6eaf962f76d6c.md)","Конец света, Супергерои, Экшн, Эпик",Игровой фильм,Подростковая аудитория (13+)
Блэйд,Blade,12/02/2026,В разработке,США,"
Marvel Studios (%D0%A1%D1%82%D1%83%D0%B4%D0%B8%D0%B8/%D0%9A%D0%BE%D0%BB%D0%BB%D0%B5%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BA%D0%BB%D1%8E%D1%87%D0%B5%D0%B2%D1%8B%D1%85%20%D0%BF%D0%BE%D0%B4%D1%80%D0%B0%D0%B7%D0%B4%D0%B5%D0%BB%D0%B5%D0%BD%D0%B8%D0%B9/Marvel%20Studios%2029bc10ae8c75804888d6eaf962f76d6c.md)","Вампиры, Сверхъестественное, Экшн",Игровой фильм,Взрослая аудитория (16+)
Звёздные войны: Мандалорец» и Грогу,The Mandalorian & Grogu,22/05/2026,В производстве,США,Lucasfilm (%D0%A1%D1%82%D1%83%D0%B4%D0%B8%D0%B8/%D0%9A%D0%BE%D0%BB%D0%BB%D0%B5%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BA%D0%BB%D1%8E%D1%87%D0%B5%D0%B2%D1%8B%D1%85%20%D0%BF%D0%BE%D0%B4%D1%80%D0%B0%D0%B7%D0%B4%D0%B5%D0%BB%D0%B5%D0%BD%D0%B8%D0%B9/Lucasfilm%2029bc10ae8c7580fd87a5df17d28c1791.md),"Приключения, Фантастика, Экшн",Игровой фильм,Широкая аудитория (13+)
Звёздные войны: Рассвет джедаев,The Mandalorian & Grogu,10/12/2027,В разработке,США,Lucasfilm (%D0%A1%D1%82%D1%83%D0%B4%D0%B8%D0%B8/%D0%9A%D0%BE%D0%BB%D0%BB%D0%B5%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BA%D0%BB%D1%8E%D1%87%D0%B5%D0%B2%D1%8B%D1%85%20%D0%BF%D0%BE%D0%B4%D1%80%D0%B0%D0%B7%D0%B4%D0%B5%D0%BB%D0%B5%D0%BD%D0%B8%D0%B9/Lucasfilm%2029bc10ae8c7580fd87a5df17d28c1791.md),"Драма, Мистика, Фэнтези, Эпик",Игровой фильм,Взрослая аудитория (16+)
Звёздные войны: Новый Орден джедаев,Star Wars: New Jedi Order,15/12/2028,В разработке,США,Lucasfilm (%D0%A1%D1%82%D1%83%D0%B4%D0%B8%D0%B8/%D0%9A%D0%BE%D0%BB%D0%BB%D0%B5%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BA%D0%BB%D1%8E%D1%87%D0%B5%D0%B2%D1%8B%D1%85%20%D0%BF%D0%BE%D0%B4%D1%80%D0%B0%D0%B7%D0%B4%D0%B5%D0%BB%D0%B5%D0%BD%D0%B8%D0%B9/Lucasfilm%2029bc10ae8c7580fd87a5df17d28c1791.md),"Драма, Приключения, Фантастика",Игровой фильм,Широкая аудитория (13+)